1,tolong bantu usir jkt eng kan ibukota lebih berkuasa gitu keknya ngmgapaandahgw 
2,again and again just smile react chanwoo says skip sore telah tiba saatnya kamu chanwoo kembali hiruk pikuk ibukota “ don’ want ” “but must ” lirihmu kesekian kali sambil menatap keindahan raja ampat dari penginapan “let’ back the home ”
3,motoran jalanan ibukota malem2 sambil ketawa ngobrol2 the best thing 
4,kuncinya perbanyak tes biar makin banyak kasus terdeteksi percepat pengerjaan vaksin dan obat lupakan pemindahan ibukota dan pembangunan jalan pastikan kebutuhan rakyat terpenuhi selama pandemi ini ingat ngga semuanya bisa wfh terutama penghasilannya harian 
5,baru sampe rumah nih abis dari ibukota baru 
6,kupi sareng ibukota gada yang tau warung kopi yang satu ini best  
7,gak buat ngucap beliau keliatan sehat kok dan lagi kalau pun sakit dan rawat ooh pasti ibukota prov gak mungkin rawat rsudnya sendiri 
8,udah dipalak preman ibukota 
9,gara2 kaido nyebut ibukota bunga jadi miliknya orochi kagak nerima abis itu langsung dah ilang lehernya
10,ibukota 
11,"oyo for better life
mnyelamatkanku kerasnya ibukota"
12,hshshs dia yang mainnya kurang jauh padahal tapi tau ibukota provinsi atau minimal kota kota besar luar pulau jawa itu parah banget 
13,kalau gak salah ibukota dulu rencana nya bandung
14,bapak bapak gaul ibukota 
15,menurut nara melarikan diri taun 2015 sih iya pyongyang ibukota super mewahnya korut aja kayak indonesia tahun 
16,kalo sekitr ibukota aku pengen rumah bsd gak jkt mau tinggal jogja kalo bisa sih pengennya tinggal kota kecil eropa sebenernya tergantung buat apa warnanya mostly peach soft pink gitu sih 
17,tapi tau ibukota provinsi parah banget asli kebangetaann anak stan lagi tapi lucu sih kak angkatanku yang jawasentris begini pas penempatan kelempar berbagai daerah kalimantan dan sulawesi sana 
18,"️️ ️️
️️ ㅤㅤbersama adiknya yang masih dan juga kakaknya wangsa akhirnya sampai ibukota dengan udara yang juga cukup panas berbeda jauh dari kota bandung mana rumah kita disini panas celotehnya mengeluh ️️ ️️
️️"
19,gapapa yogs bentar jdi ibukota bukan berburu babi hutan berburu tikus berdasi
20,"⠀
selamat malam juga carika nama saya sachiko sempat menetap bandung juga cukup lama tapi sekarang menetap ibukota untuk kerja ⠀"
21,"️️ ️️
️️ ㅤㅤwangsa seorang remaja tanggung asal bandung harus rela meninggalkan kota kelahiran sekaligus kesayangannya untuk berpindah kota yang lain dan dikenal orang sangatlah keras ibukota ️️ ️️
️️"
22,jarang banget tipikal kale ibukota ngomong2 kale berapa kali take pas scene ciumanya hahahahaha duh 
23,️️ ️️ ️️ ️️ selamat malam nama saya gempita pernah tinggal bandung tapi sekarang menetap ibukota ️️ ️️ ️️ ️️
24,itu dia abis ikut panjat pinang yaa baju nya semrawut kek jalanan ibukota
25,huffff ngeri idup ibukota ada pressure ttg prestige juga yha inginku hidup damai desa dengan pemasukan ibukota 
26,temennya temenkuu banyak cerita smp sma negeri yang suram padahal tangsel deket ibukota huhu miris apalagi yang jauh dari kota yaahh
27,akhyar berharap masyarakat dapat dengan sadar menerapkan protokol kesehatan untuk menekan angka covid ibukota provinsi sumatera utara 
28,gak mau ibukota juga dah mau dipindah xixixi 
29,jadi gubernur ibukota baru dulu dong biar ngikut jejak bapak
30,dulu waktu aku masih kelas ato kelas ibuku mendaftarkanku tempat ngaji ibukota kecamatan awalnya sih baik baik aja soalnya pas awal masuk aku emang udah bisa ngaji sampe jilid malah lancar 
31,jika ditanya kapan pandemi iki akan berakhir cobo jajalo ibukota jatim disana kok pada cuek bebek gitu lebih timur lagi saya kota proling dan sama saja salah satu warganya bilang disini gada covid mas bupatine habib kok lhaa 
32,ibukota
33,nan pang maras bos kita nan lamen bau menang dadi dpr diri nan endi leng enda petang ano gita gempang miri pang sareong leng sarea tau lewat ola nan kau saser batulanteh sampai lingkar selatan ana leng diri lunyuk ana dadi ibukota kabupaten kamaras kau endi bleng tau
34,mungkin sambil menikmati indahnya pemandangan ibukota imajinatif 
35,anak perantau ibukota sangat merindukan ini bli
36,kpn bisa kembali menikmati indah ibukota 
37,perkembangan kasus sembuh pasien covid kota denpasar terus meningkat hingga hari ini senin angka kesembuhan pasien covid ibukota provinsi bali ini mencapai 972 orang atau setara dengan … 
38,"memang semua ini
milik kita sendiri haruskah
kita beranjak ibukota yang penuh dengan tanya lebih baik disini
rumah kita sendiri
semua ada disini  "
39,siapa suruh ngabisin tabungan kan bisa kredit gitu perlu cash kita berangkat sekarang mau mampir mampir gitu liatin sungai ciliwung mungkin tanya jeff sembari menyalakan mobilnya dan menginjak pedal gas berjalan menyusuri hiruk pikuk jalan malam ibukota 
40,mahadiana widyadharma itu karena tujuan orang ini aslinya mahadiana cuma halu halu manusia ibukota ngayal 
41,ibukota priangan
42,apa nama ibukota myanmar
43,laporan labi labi pasca gerudug ibukota selasa sore baik online dan offline 
44,udah kayak ibukota
45,ajakin aku dong cape bgttt liat ibukota korpri 
46,astaghfirullah jamet ibukota skali 
47,puji tuhan see you ibukota yes
48,bisa kebayang kan jika pelabuhan marunda ini yang jadi jantung nya perputaran sembako ibukota lumpuh gara gara covid bisa berabe urusannya makanya kcn sudah jauh memikirkan arah sana 
49,arsitektur yang membentuk machiya yang masih bisa kita lihat sekarang ini berasal dari desain rumah zaman heian saat kyoto atau heian kyo pada masa itu mulai menjadi ibukota jepang 
50,sedikitpun gaada maksud sara atau menyinggung suku apapun sebenarnya perang ini bkn terjadi begitu konflik antara etnis dayak dan madura sudah ada dari 1999 kalimantan barat kembali terjadi konflik serupa sampit ibukota kabupaten kotawaringin timur kalteng 
51,hari ini negara bagian victoria dengan ibukota melbourne kembali mencatat rekor jumlah harian penularan virus corona ada lebih dari 500 yang dinyatakan positif covid dalam jam terakhir 
52,haloo naii 04l ibukota tdk akan ibukota salkenn 
53,yang jelas daerah tsb kehidupannya sama kek kalian tinggal dijawa ada perkembangannya lbh maju jawa ada lebih lambat dan ibukota papua udh ada mall gausah mikir klo sana pelosok primitif pffft
54,itu pengalamanku tinggal ibukota sulsel selama tahun 2000 2005 terus lahir ibukota sultra dithn 90an dan pernah main kesana 2004 skrg pastinya udh berkembang semua dong dan pernah biak thn 2000 jujur kangen 
55,tapi sulawesi semua gitu aku pernah lebaran tempat lahirku ibukota sulawesi tenggara bener kaget jauh bgt aku ceritain sblmnya bandaranya seuprit mall gak ada waktu itu pantai masih bagusan ikonnya ibukota sulsel 
56,pernah tinggal ibukota sulawesi selatan disana perputaran kehidupannya benar pesat mallnya udh lengkap bahkan kaget ketika pindah ibukota jawa tengah perputarannya trnyata lebih lambat menurutku 
57,"alhamdulillah sehat kang 
haturnuhun kumaha ieu ibukota keneh atawa kampung halaman "
58,aku kalimantan nder sekitar jam dari ibukota provinsi kehidupan adalah sambat tiap hari karena ongkir mahal banget tolonggg 
59,buku yang ingin kubaca dalam waktu dekat diantaranya tema sejarah setelah covid berakhir destinasi yang ingin kunjungi adalah museum beberapa kali baca tentang kerajaan majapahit jadi ingin trowulan yang katanya sebagai ibukota majapahit 
60,️️ ️️ ️️ ️️ bram mengendarai kendaraan roda empatnya menyusuri jalan malamnya ibukota dirinya menancap gas terburu buru agar bisa hadir tepat waktu kantornya ️️ ️️ ️️ ️️
61,sendiri ditengah keramaian lalulintas ibukota ada nemenin 
62,hemmmmm emang keras kehidupan wanita pekerja ibukota nov 
63,️️ ️️ ㅤㅤnamanya panjang singkatnya apa yang disini zoey kiara anastasia kia sempat numpang lahir palembang waktu ayah sedang tugas sekarang menetap ibukota ️️ ️️ 
64,alo bandung ibukota 
65,anak ibukota nii
66,sini mel keliling ibukota sebelum ibukota nya pindahan 
67,ibukota polbek dlu teh
68,sesi isinya nama ibukota tweet bawahnya kan ada penjelasannya lgi naa
69,jangan lupa kabarin yak kapan datang gue 
70,eii anak ibukota nii
71,• maaf kami tidak mudah dibeli kami tidak akan tunduk demi kebenaran dan cita2 perjuangan bagi umat islam bumi palestina yang dalamnya ada aqsha adalah bagian dari akidah quds akan tetap menjadi ibukota abadi palestina birruh biddam nafdika yaaa aqsha • 
72,ibukota baru 
73,"maaf kami tidak mudah dibeli kami tidak akan tunduk demi kebenaran dan cita cita perjuangan ⠀
bagi umat islam bumi palestina yang dalamnya ada aqsha adalah bagian dari akidah quds akan tetap menjadi ibukota abadi palestina ⠀ ⠀ "
74,melipir sejenak dari ibukota yang sudah mulai bikin halu emol masih takut takut nongkrong cafe masih malu malu kongkow bareng teman teman masih diburu waktu tapi kalau bersama kamu … 
75,️️ ️️ ada warga ibukota salam kenal ezra sudah kerja ️️ ️️ ️️ ️️
76,hihihi sini sini ini vid ada ibukota papua 
77,memantau keributan anak ibukota
78,mereka terlalu baik untuk bergabung sama sebagian dari kalian yang suka menindas kulit hitam dan rasa indonesia timur orangnya otaknya lebih maju daripada situ well disini modal cangtip aja kaga laku  kalo kaga tau ibukota indonesia mending mundur 
79,halo halo bandung ibukota periangannnnn halo halo bandung kota kenang kenangaaann sudahhhh lama beta tidak berjumpa dengan kauuu
80,liat data kasus cluster perkantoran ibukota negara dan kebanyakkan listnya kantor instansi permerintah jadi penasaran sebabnya karena alur pelaporan kasusnya lebih jelas dan open dari swasta atau karena protokolnya lebih buruk dari swasta 
81,senja menjelang ibukota negeri terima kasih sudah mengantarkan sampai sini dengan selamat akhirnya bisa terbang lagi bersama maskapai kebanggaan negeri happy airborne again 
82,heh udh pindah mother city alias ibukota diam sana pergi main ikea
83,sorry bro anak ibukota
84,buset aku kalimantan mengendarai babi untuk memanen singkong sama ubi untuk makan sehari hari hehew hidup calon ibukota bandara kota termasuk terbaik tnggal kota minyak kebayang kan gaji pekerja tambang disini hehew disini biaya hidup tinggi 
85,pak negara sedang blunder yaa rumah saya tongkrongan paling enak lho pak buat berdiskusi sekiranya bapa butuh tongkrongan ibukota kesokin aja
86,tggal ntt hari libur piknik aja kerjaannya adaaa ajaa tempat wisata baru trus belom pernah didatengin naek pesawat bsa naek kapal bsa ibukota udah grab mall makanan melimpah ruah bsa hidup santai tanpa sara aman aja tuh 
87,new york ibukota kan kok wes pindah rusia 
88,knp ngomongin jawa luar jawa mulu kalian tau bukittinggi pernah jadi ibukota loh tpi rata smua tau nya padang doang kan taik 
89,pantesan dana apbd juga hilangnya senyap ternyaya ibukota dipimpin tuyul 
90,tetot salah anak ibukota metropolitan
91,gini gimana mau cepet kalo ibukota baru aja jalan trus mending dananya dipake buat anggaran corona jadi negara gak perlu utang kalo utang ini tagar kan auto naik mau cepet mampet 
92,hahahaha bener mereka mah aku kamu malah kita yang jadinya kerasa kasar karena pake kau hhh dahla namanya juga ibukota semangat terus maaa  iya sini sih udah gampang filter orang orangnya mudah milih siapa yang boleh ditumpahin 
93,kgn bgt lalapan bismillah ibukota
94,"disini kak nama ibu kota
"
95,dari abang skrg turun adik nya kepri kepri gtu2 saja maju2  makanya ibukota nya saja tdk dikenal dimna tanjungpinang  kalo batam tau
96,kalimantan utara adalah provinsi terbaru indonesia dengan ibukota tanjung selor ingat 
97,ntar juta monas ibukota baru
98,anehnya menurut tanpa basa basi mengiyakan ‘perintah’ yang disampaikan melalui dengan motor kesayangannya pria itu melaju cepat jalanan ibukota menuju area perbelanjaan yang tidak terlalu jauh dari tempat tinggalnya 
99,pandangnya fokus pada jalanan bali yang menurutnya tidak sepadat jalanan ibukota telapak tangan kirinya sesekali menyentuh kedua lengan carmilla yang melingkari pinggangnya mengingatkan sang istri untuk berpegangan erat saat calvin rasa kedua tangannya mulai longgar 
100,mau ngeluh udah nasib tinggal jauh dari ibukota  mana gabisa cari temen sharing ongkir 
